ID;CODE;SDIS;TYPE;NOM;ADRESSE;LAT;LON
48;S-766; SDIS Plaine de l'Orbe;DPS;Caserne d'Orbe;Via Urba 7, 1350 Orbe;46.724986;6.54396
49;S-767; SDIS Haute-Broye;DPS;Caserne de Moudon;Zone Industrielle la Pussaz 9, 1510 Moudon;46.6585892;6.7935235
50;S-767; SDIS Haute-Broye;DPS;Caserne de Lucens;Avenue de la Vignette 5, 1522 Lucens;46.7087072;6.836183
51;S-768; SDIS Broye-Vully;DPS;Caserne de Payerne;Rue Derrière Chapelle, 1530 Payerne;46.8211073;6.9396326
52;S-768; SDIS Broye-Vully;DPS;Caserne d'Avenches;Derrière les Murs, 1580 Avenches;46.8877597;7.0435383
53;S-768; SDIS Broye-Vully;DPS;Caserne de Cudrefin;Chemin de la Moillettaz, 1588 Cudrefin;46.9541132;7.0215815
54;S-768; SDIS Broye-Vully;DPS;Caserne de Granges-près-Marnand;-;46.76336;6.88765
55;S-769; SDIS Vallorbe Région;DPS;Caserne de Vallorbe;Rue du Milieu, 1337 Vallorbe;46.7114994;6.3771921
56;S-770; SDIS Ste-Croix - Pied-de-la-Côte;DPS;Caserne de Sainte-Croix;Chemin du Progrès 28, 1450 Sainte-Croix;46.8178407;6.504588
57;S-770; SDIS Ste-Croix - Pied-de-la-Côte;DPS;Caserne de Tévenon;Route de la Fontaine 12, 1423 Villars-Burquin;46.8469587;6.6274672
58;S-777; SDIS Les Salines;DPS;Caserne de Bex;Rue du Simplon 7, 1880 Bex;46.2484;7.008673
59;S-777; SDIS Les Salines;DPS;Service du feu d'Ollon;Route de la Distillerie 4, 1867 Ollon;46.2965233;6.9923834
60;S-777; SDIS Les Salines;DPS;Local du feu de Gryon;Route de Villars 41, 1882 Gryon;46.281423;7.069494
61;S-777; SDIS Les Salines;DPS;Caserne de Villars;Rue du Village 10, 1884 Ollon;46.2982432;7.0527236
62;S-780; SDIS Fortifications;DPS;Caserne de Saint-Maurice;Route du Simplon 66, 1890 Saint-Maurice;46.2094445;7.0063096
63;S-790; SDIS Oron-Jorat;DPS;Caserne d'Oron;Route de Lausanne 54, 1610 Oron;46.5712434;6.8183436
64;S-790; SDIS Oron-Jorat;DPS;Caserne de Mézières;Route de la Croix-d'Or 8, 1083 Mézières;46.5964404;6.7687912
