ID;CODE;SDIS;TYPE;NOM;ADRESSE;LAT;LON
50;S-701; SDIS Chablais;DAP;Caserne de Corbeyrier;-;46.3487657;6.9603599
51;S-702; SDIS Vallée de Joux;DAP;Hangar du Sentier;Rue de l’Orbe 9, 1347 Le Sentier;46.604972;6.231195
52;S-702; SDIS Vallée de Joux;DAP;Hangar de l'Abbaye;Place du Prédicant, 1344 L'Abbaye;46.6364247;6.320202
53;S-710; SDIS Ouest-Lavaux;DAP;Caserne de Pully;Place de la Clergère 15, 1009 Pully;46.5109716;6.6617278
54;S-710; SDIS Ouest-Lavaux;DAP;Caserne de Belmont;Route d'Arnier 80, 1092 Belmont-sur-Lausanne;46.5247845;6.6816177
55;S-710; SDIS Ouest-Lavaux;DAP;Caserne de Lutry;Chemin des Champs 4, 1095 Lutry;46.5049943;6.6867882
56;S-711; SDIS Alpin;DAP;Caserne des Diablerets;La Gare 42, 1865 Les Diablerets;46.3533294;7.1519898
57;S-711; SDIS Alpin;DAP;Caserne des Mosses;Les Mosses 118, 1862 Ormont-Dessous;46.3985316;7.1027824
58;S-711; SDIS Alpin;DAP;Caserne de Leysin;Route du Camping, 1854 Leysin;46.341595;7.017464
59;S-733; SDIS Cœur de Lavaux;DAP;Caserne de Puidoux;Chemin des Chaux 1058, 1070 Puidoux;46.5028114;6.7858322
60;S-733; SDIS Cœur de Lavaux;DAP;Caserne de Savigny;Route de Claie-aux-Moines 17, 1073 Savigny;46.5413937;6.7115111
61;S-733; SDIS Cœur de Lavaux;DAP;Caserne de Cully;Chemin du Vigny 3, 1096 Cully;46.4897069;6.7300097
62;S-733; SDIS Cœur de Lavaux;DAP;Caserne de Forel;Route de Vevey 11, 1072 Forel;46.5353692;6.7691312
63;S-735; SDIS de Malley, Prilly et Renens;DAP;Local du feu de Renens;Rue de l'Avenir 4, 1020 Renens;46.5370194;6.5844276
64;S-735; SDIS de Malley, Prilly et Renens;DAP;Caserne de Prilly;Chemin du Centenaire 4, 1008 Prilly;46.5347821;6.6071494
65;S-738; SDIS Chamberonne;DAP;Caserne d'Ecublens;Ch. des Esserts 5, 1024 Ecublens;46.5339446;6.5692626
66;S-738; SDIS Chamberonne;DAP;Caserne de Chavannes;Av. de la Gare 94 - 1022 Chavannes;46.5282744;6.5719625
67;S-741; SDIS Riviera;DAP;Caserne de Saint-Légier;Chemin de Pangires 2, 1806 Saint-Légier-La Chiésaz;46.4746453;6.8764596
68;S-741; SDIS Riviera;DAP;Caserne de Jongny;Chemin de la Forge 7, 1805 Jongny;46.4786324;6.8409808
69;S-741; SDIS Riviera;DAP;Caserne de Montreux;Rue de la Corsaz 4, 1820 Montreux;46.4322626;6.9151904
70;S-741; SDIS Riviera;DAP;Caserne de Vevey;Rue du Musée 5, 1800 Vevey;46.4610553;6.8448479
71;S-755; SDIS Haut-Talent;DAP;Caserne du Haut-Talent;Rte de Montheron 53, 1053 Montheron;46.5933671;6.654096
72;S-765; SDIS Régional du Nord Vaudois;DAP;Caserne de Donneloye;-;46.7445635;6.7155093
73;S-765; SDIS Régional du Nord Vaudois;DAP;Caserne de Belmont-sur-Yverdon;-;46.7453758;6.624103
74;S-765; SDIS Régional du Nord Vaudois;DAP;Caserne de Montagny-près-Yverdon;-;46.7917884;6.6120529
75;S-765; SDIS Régional du Nord Vaudois;DAP;Caserne de Bonvillars;-;46.8392361;6.6714518
76;S-765; SDIS Régional du Nord Vaudois;DAP;Caserne de Chavannes-le-Chêne;-;46.7769235;6.7778913
77;S-766; SDIS Plaine de l'Orbe;DAP;Caserne d'Orbe;Via Urba 7, 1350 Orbe;46.724986;6.54396
78;S-766; SDIS Plaine de l'Orbe;DAP;DAP de Bofflens;-;46.705068;6.4982378
79;S-766; SDIS Plaine de l'Orbe;DAP;DAP de Bavois;-;46.6860182;6.5653718
80;S-766; SDIS Plaine de l'Orbe;DAP;DAP de Baulmes;-;46.7895163;6.521739
81;S-766; SDIS Plaine de l'Orbe;DAP;DAP de Chavornay;-;46.7088129;6.5707689
82;S-766; SDIS Plaine de l'Orbe;DAP;DAP de Croy;Le Praz-Amiet, 1322 Croy;46.6877064;6.4815158
83;S-766; SDIS Plaine de l'Orbe;DAP;DAP de Rances;-;46.760201;6.5299737
84;S-767; SDIS Haute-Broye;DAP;Caserne de Lucens;Avenue de la Vignette 5, 1522 Lucens;46.7087072;6.836183
85;S-767; SDIS Haute-Broye;DAP;Caserne de Thierrens;-;46.7040793;6.753842
86;S-768; SDIS Broye-Vully;DAP;Caserne de Payerne;Rue Derrière Chapelle, 1530 Payerne;46.8211073;6.9396326
87;S-768; SDIS Broye-Vully;DAP;Caserne d'Avenches;Derrière les Murs, 1580 Avenches;46.8877597;7.0435383
88;S-768; SDIS Broye-Vully;DAP;Caserne de Chabrey;-;46.9268456;6.981517
89;S-768; SDIS Broye-Vully;DAP;Caserne de Dompierre;-;46.708190;6.883169
90;S-768; SDIS Broye-Vully;DAP;Caserne de Grandcour;-;46.8718572;6.9281823
91;S-768; SDIS Broye-Vully;DAP;Caserne de Treytorrens;-;46.7716154;6.7999774
92;S-768; SDIS Broye-Vully;DAP;Caserne de Granges-près-Marnand;-;46.76336;6.88765
93;S-768; SDIS Broye-Vully;DAP;Caserne de Villarzel;-;46.7484013;6.9129687
94;S-769; SDIS Vallorbe Région;DAP;Caserne de Vallorbe;Rue du Milieu, 1337 Vallorbe;46.7114994;6.3771921
95;S-769; SDIS Vallorbe Région;DAP;Caserne de Ballaigues;Grand-Rue 41, 1338 Ballaigues;46.729838;6.4162477
96;S-769; SDIS Vallorbe Région;DAP;Caserne de Vaulion;-;46.6879021;6.3889387
97;S-770; SDIS Ste-Croix - Pied-de-la-Côte;DAP;Caserne de Sainte-Croix;Chemin du Progrès 28, 1450 Sainte-Croix;46.8178407;6.504588
98;S-770; SDIS Ste-Croix - Pied-de-la-Côte;DAP;Caserne de Tévenon;Route de la Fontaine 12, 1423 Villars-Burquin;46.8469587;6.6274672
99;S-777; SDIS Les Salines;DAP;Caserne de Bex;Rue du Simplon 7, 1880 Bex;46.2484;7.008673
100;S-777; SDIS Les Salines;DAP;Service du feu d'Ollon;Route de la Distillerie 4, 1867 Ollon;46.2965233;6.9923834
101;S-777; SDIS Les Salines;DAP;Local du feu de Gryon;Route de Villars 41, 1882 Gryon;46.281423;7.069494
102;S-777; SDIS Les Salines;DAP;Caserne de Villars;Rue du Village 10, 1884 Ollon;46.2982432;7.0527236
103;S-780; SDIS Fortifications;DAP;Caserne de Saint-Maurice;Route du Simplon 66, 1890 Saint-Maurice;46.2094445;7.0063096
104;S-790; SDIS Oron-Jorat;DAP;Caserne d'Oron;Route de Lausanne 54, 1610 Oron;46.5712434;6.8183436
105;S-790; SDIS Oron-Jorat;DAP;Caserne de Mézières;Route de la Croix-d'Or 8, 1083 Mézières;46.5964404;6.7687912
106;S-790; SDIS Oron-Jorat;DAP;Caserne de Vucherens;Rue de la Gotte 5, 1509 Vucherens;46.6217861;6.7741299
107;S-790; SDIS Oron-Jorat;DAP;Caserne de Palézieux;Rue de la Gare 22, 1607 Palézieux;46.5413783;6.8379294
108;S-602; SDIS Etraz Région;DAP;Caserne de Bière;Avenue du Tir Fédéral 12, 1145 Bière;46.5357606;6.3391816
109;S-767; SDIS Haute-Broye;DAP;Caserne de Moudon;Zone Industrielle la Pussaz 9, 1510 Moudon;46.6585892;6.7935235
110;S-768; SDIS Broye-Vully;DAP;Caserne de Cudrefin;Chemin de la Moillettaz, 1588 Cudrefin;46.9541132;7.0215815
111;S-765; SDIS Régional du Nord Vaudois;DAP;Caserne d'Yvonand; Chemin de la Petite Amérique 2, 1462 Yvonand;46.7982703;6.7558038
112;S-765; SDIS Régional du Nord Vaudois;DAP;Caserne de Grandson;Chemin du Borné-Nau, 1422 Grandson;46.8147203;6.6498241
113;S-765; SDIS Régional du Nord Vaudois;DPS;Caserne d'Yverdon;Rue de l'Arsenal 8, 1400 Yverdon-les-Bains;46.785016;6.6398038
114;S-765; SDIS Régional du Nord Vaudois;DPS;Caserne de Concise;En Chenaux 8, 1426 Concise;46.8520457;6.7185882
