ID;NOM;TYPE;ADRESSE;LAT;LON
91;Pharmacie des Bergi?»???¢res;Priv?»???¢;Avenue des Bergi?»???¢res 42. 1004 Lausanne;46.530743100000000;6.619494900000000
92;Pharmacie des Moulins Vevey SA;Priv?»???¢;Rue des Moulins 6. 1800 Vevey;46.464683700000000;6.842486100000000
93;Pharmacie des Mousquines SA;Priv?»???¢;Avenue des Mousquines 4. 1005 Lausanne;46.517373200000000;6.644199800000000
94;Pharmacie des Tattes d'Oie 99;Priv?»???¢;Route des Tattes d'Oie 99. 1260 Nyon;46.384608499999900;6.221785600000000
95;Pharmacie des Vergers SA;Priv?»???¢;Rue des Vergers 7. 1462 Yvonand;46.798513399999900;6.743589100000000
96;Pharmacie d'Ollon;Priv?»???¢;Place de l'H?»???¢tel de Ville 2. 1867 Ollon VD;46.296706800000000;6.995168900000000
97;Pharmacie du Banneret;Priv?»???¢;Rue de Lausanne 19. 1530 Payerne;46.819878199999900;6.936927900000000
98;Pharmacie du Boulevard;Priv?»???¢;Boulevard de Grancy 35. 1006 Lausanne;46.515879599999900;6.627002900000000
99;Pharmacie du Bourg;Priv?»???¢;Grand-Rue 53. 1844 Villeneuve VD;46.396163500000000;6.924025900000000
100;Pharmacie du Centre;Priv?»???¢;Place du Centre 3. 1860 Aigle;46.318314800000000;6.968907000000000
101;Pharmacie du Centre;Priv?»???¢;Route d'Yverdon 3. 1033 Cheseaux-sur-Lausanne;46.586123600000000;6.605162300000000
102;Pharmacie du Centre;Priv?»???¢;Grand-Rue 6. 1814 La Tour-de-Peilz;46.452363200000000;6.857973400000000
103;Pharmacie du Cr?»???¢t SA;Priv?»???¢;Chemin du Cr?»???¢t 2. 1110 Morges;46.522392699999900;6.499822700000000
104;Pharmacie de Chexbres;Priv?»???¢;Chemin de Praz-Routoz 1. 1071 Chexbres;46.482530300000000;6.774576600000000
105;Pharmacie de Clarens;Priv?»???¢;Avenue Alexandre-Vinet 15. 1815 Clarens;46.441326400000000;6.893371200000000
106;Pharmacie de Coppet;Priv?»???¢;Grand'Rue 46. 1296 Coppet;46.315774400000000;6.192427300000000
107;Pharmacie de Crans-C?»???¢ligny SA;Priv?»???¢;Rue des Artisans 7. 1299 Crans-pr?»???¢s-C?»???¢ligny;46.356863799999900;6.204151400000000
108;Pharmacie de Cugy;Priv?»???¢;Route de Lausanne 3. 1053 Cugy VD;46.584241100000000;6.639736200000000
109;Pharmacie de Cully;Priv?»???¢;Rue de la Gare 8. 1096 Cully;46.488711799999900;6.728435900000000
110;Pharmacie de Genolier;Priv?»???¢;Route de la Gare 5. 1272 Genolier;46.435391400000000;6.216688800000000
111;Pharmacie de Gimel;Priv?»???¢;Rue Billard 13. 1188 Gimel;46.510198299999900;6.308037500000000
112;Pharmacie de Grandson;Priv?»???¢;Rue Haute 2. 1422 Grandson;46.809144799999900;6.645195500000000
113;Pharmacie de la Bateli?»???¢re SA;Priv?»???¢;Avenue de Cour 105. 1007 Lausanne;46.515973199999900;6.613657000000000
114;Pharmacie de la Bl?»???¢cherette;Priv?»???¢;Route des Plaines-du-Loup 74. 1018 Lausanne;46.540550500000000;6.621061400000000
115;Pharmacie de la Cerisaie;Priv?»???¢;Route de la Maladi?»???¢re 12. 1022 Chavannes-pr?»???¢s-Renens;46.527876900000000;6.567887500000000
116;Pharmacie de la Clerg?»???¢re;Priv?»???¢;Chemin Pr?»???¢ de la Tour 10. 1009 Pully;46.511032299999900;6.660998900000000
117;Pharmacie de la Crois?»???¢e;Priv?»???¢;Grand'Rue 1. 1304 Cossonay-Ville;46.614263899999900;6.507054700000000
118;Pharmacie de la Fontaine;Priv?»???¢;Rue du Cropt 9. 1880 Bex;46.250290800000000;7.014846500000000
119;Pharmacie de la M?»???¢bre;Priv?»???¢;Rue de la M?»???¢bre 6. 1020 Renens VD;46.537558699999900;6.579985600000000
120;Pharmacie Lardelli SA;Priv?»???¢;Avenue Juste-Olivier 5. 1006 Lausanne;46.515952900000000;6.637449300000000
121;Pharmacie Luc Geny-Distrim SA;Priv?»???¢;Rue du Petit-Ch?»???¢ne 9b. 1003 Lausanne;46.518495100000000;6.631065800000000
122;Pharmacie Metro Lausanne SA - M?»???¢tro-Flon;Priv?»???¢;Place de l'Europe 5. 1003 Lausanne;46.520215299999900;6.630305300000000
123;Pharmacie Amavita Gottaz Centre;AMAVITA;Avenue de la Gottaz 28. 1110 Morges;46.507241000000000;6.485500800000000
124;Pharmacie Amavita la Broye;AMAVITA;Grand'Rue 26. 1530 Payerne;46.821651099999900;6.938567900000000
125;Pharmacie Amavita La Harpe;AMAVITA;Avenue de Cour 11. 1007 Lausanne;46.512119800000000;6.625415200000000
126;Pharmacie Amavita Les Arcades;AMAVITA;Rue du Midi 10. 1020 Renens VD;46.537840299999900;6.581654500000000
127;Pharmacie Amavita Mont-d'Or;AMAVITA;Avenue de Cour 110. 1007 Lausanne;46.516772099999900;6.611904300000000
128;Pharmacie Amavita Montreux;AMAVITA;Avenue du Casino 53. 1820 Montreux;46.430839900000000;6.910588500000000
129;Pharmacie Amavita Perraudettaz;AMAVITA;Avenue de Lavaux 6. 1009 Pully;46.513457400000000;6.654395600000000
130;Pharmacie Amavita Portes St-Fran?»???¢ois;AMAVITA;Place Saint-Fran?»???¢ois 1. 1003 Lausanne;46.520125200000000;6.632001200000000
131;Pharmacie Amavita Pulli?»???¢rane;AMAVITA;Rue de la Poste 26. 1009 Pully;46.510418199999900;6.659874300000000
132;Pharmacie Amavita St-Laurent;AMAVITA;Rue William-Haldimand 14. 1003 Lausanne;46.520793300000000;6.631489400000000
133;Pharmacie Amavita Savigny;AMAVITA;Place du Forum 1. 1073 Savigny;46.538981700000000;6.731423800000000
134;Pharmacie Amavita Th?»???¢?»???¢tre;AMAVITA;Avenue Georgette 4. 1003 Lausanne;46.517677100000000;6.637672800000000
135;Pharmacie Arc-en-Ciel;Priv?»???¢;Route de Lausanne 31. 1610 Oron-la-Ville;46.570526200000000;6.821488300000000
136;Pharmacie Centrale;Priv?»???¢;Rue Centrale 15. 1350 Orbe;46.723473499999900;6.532594400000000
137;Pharmacie Centrale Emery SA;Priv?»???¢;Rue du Lac 27. 1400 Yverdon-les-Bains;46.779488499999900;6.639186200000000
138;Pharmacie Clarenzia;Priv?»???¢;Rue du Lac 64. 1815 Clarens;46.440329200000000;6.895515300000000
139;Pharmacie COOP Vitality;COOP;Chemin de Saugy 1. 1023 Crissier;46.545211799999900;6.569767900000000
140;Pharmacie COOP Vitality;COOP;Rue des Foss?»???¢s 4. 1110 Morges;46.510022200000000;6.497578200000000
141;Pharmacie COOP Vitality;COOP;Place du March?»???¢ 1. 1020 Renens VD;46.538315099999900;6.581744800000000
142;Pharmacie COOP Vitality SA - Quartier Eikenott;COOP;All?»???¢e du Communet 20. 1196 Gland;46.427375200000000;6.266102000000000
143;Pharmacie de Belmont;Priv?»???¢;Route d'Arnier 43986. 1092 Belmont-sur-Lausanne;46.523679999999900;6.680070000000000
144;Pharmacie de Blonay;Priv?»???¢;Route du Village 3. 1807 Blonay;46.467975799999900;6.894157000000000
145;Pharmacie de Chailly;Priv?»???¢;Avenue de Chailly 5. 1000 Lausanne;46.526468299999900;6.652134300000000
146;Pharmacie de Chardonne;Priv?»???¢;Rue du Village 5. 1803 Chardonne;46.476743399999900;6.829860000000000
147;Pharmacie de Chauderon SA;Priv?»???¢;Place Chauderon 32. 1003 Lausanne;46.523946100000000;6.623654700000000
148;Pharmacie de Chavannes;Priv?»???¢;Rue de la Blancherie 14. 1022 Chavannes-pr?»???¢s-Renens;46.533233099999900;6.578959600000000
149;Pharmacie de Chavornay SA;Priv?»???¢;Rue de la Gare 1. 1373 Chavornay;46.709270300000000;6.570212500000000
150;Pharmacie de Chernex;Priv?»???¢;Rue des Deux Fontaines 11. 1822 Chernex;46.443668899999900;6.911228000000000
151;BENU Pharmacie Abbatiale;BENU;Grand'Rue 32. 1530 Payerne;46.821557200000000;6.938262000000000
152;Pharmacie Miserez SA;Priv?»???¢;Rue de la Gare 4. 1030 Bussigny;46.547949899999900;6.553103700000000
153;Pharmacie Moudonnoise;Priv?»???¢;Avenue de la Gare . 1510 Moudon;46.667516100000000;6.800729600000000
154;Pharmacie Nyon Fontaines;Priv?»???¢;Chemin d'Eysins 53b. 1260 Nyon;46.385832899999900;6.219613100000000
155;Pharmacie Nyonnaise;Priv?»???¢;Rue de la Gare 43. 1260 Nyon;46.383565200000000;6.236063700000000
156;Pharmacie Pharmalucens SA;Priv?»???¢;Place de la Couronne 3. 1522 Lucens;46.707568500000000;6.838845800000000
157;Pharmacie Polycare SA - EPFL Les Arcades;Priv?»???¢;Route Louis-Favre 6c. 1024 Ecublens VD;46.523188599999900;6.565393700000000
158;Pharmacie Populaire de Grancy;Pharmacie populaire;Boulevard de Grancy 4. 1006 Lausanne;46.515312700000000;6.631603500000000
159;Pharmacie Populaire de la Sallaz;Pharmacie populaire;Route d'Oron 4. 1010 Lausanne;46.533726500000000;6.648053000000000
160;Pharmacie Populaire de la Tour S?»???¢rl;Pharmacie populaire;Rue de l'Ale 40. 1003 Lausanne;46.523693899999900;6.628041400000000
161;Pharmacie Populaire de l'Avenue d'Echallens;Pharmacie populaire;Avenue d'Echallens 61. 1004 Lausanne;46.527476100000000;6.616551600000000
162;Pharmacie Populaire de Morges S?»???¢rl;Pharmacie populaire;Grand-Rue 100. 1110 Morges;46.507993900000000;6.496767100000000
163;Pharmacie Rose Rouge;Priv?»???¢;Avenue du Temple 2. 1020 Renens VD;46.535988699999900;6.587689100000000
164;Pharmacie Saba - Centre commercial St-Antoine;Priv?»???¢;Avenue du G?»???¢n?»???¢ral-Guisan 9. 1800 Vevey;46.462975999999900;6.840608000000000
165;Pharmacie Schoen;Priv?»???¢;Avenue Paul-Ceresole 11. 1800 Vevey;46.461606799999900;6.841941600000000
166;Pharmacie Sen'Su;Priv?»???¢;Rue Saint-Pierre 4. 1003 Lausanne;46.519549900000000;6.636877700000000
167;Pharmacie Square des Charpentiers SA;Priv?»???¢;Rue des Charpentiers 8. 1110 Morges;46.510600199999900;6.497398800000000
168;Pharmacie St-Bernard;Priv?»???¢;Rue Grenade 19. 1510 Moudon;46.669080600000000;6.798219000000000
169;Pharmacie St-Germain;Priv?»???¢;Rue Saint-Germain 7. 1030 Bussigny;46.550236800000000;6.550032800000000
170;Pharmacie St-Martin;Priv?»???¢;Rue du Th?»???¢?»???¢tre 10. 1800 Vevey;46.461119699999900;6.843290500000000
171;Pharmacie Sun Store;Sun Store;Rue de la Gare 19. 1030 Bussigny;46.549287499999900;6.552420200000000
172;Pharmacie Sun Store;Sun Store;Rue William-Haldimand 1. 1003 Lausanne;46.522609500000000;6.631123400000000
173;Pharmacie Sun Store - B?»???¢timent de la Poste;Sun Store;Place Saint-Fran?»???¢ois 15. 1003 Lausanne;46.519110699999900;6.633148100000000
174;Pharmacie Sun Store - Centre commercial Coop d'Ecublens;Sun Store;Chemin du Croset 1 ?»???¢ 3. 1024 Ecublens VD;46.534258999999900;6.567070600000000
175;Pharmacie Sun Store - Centre commercial M Etoy;Sun Store;Route Suisse 26. 1163 Etoy;46.473801500000000;6.426031300000000
176;Pharmacie Sun Store - Centre commercial Midi-Coindet;Sun Store;Avenue du G?»???¢n?»???¢ral-Guisan 17. 1800 Vevey;46.463808200000000;6.840319400000000
177;Pharmacie Sun Store - Centre Commercial Milavy;Sun Store;Le Milavy . 1580 Avenches;46.877719800000000;7.031417800000000
178;Pharmacie Sun Store - Centre commercial Rennaz;Sun Store;Pr?»???¢-de-la-Croix 18. 1847 Rennaz;46.384058199999900;6.924290900000000
179;Pharmacie Sun Store - Centre COOP Les Moulins;Sun Store;Route de l'Ancienne Ciblerie 4. 1095 Lutry;46.505473700000000;6.688346800000000
180;Pharmacie Sun Store - Centre M Blonay;Sun Store;Route du Village 37. 1807 Blonay;46.465277000000000;6.895157000000000
181;Pharmacie Sun Store - Centre Malley Lumi?¿res;Sun Store;Chemin du Viaduc 1. 1008 Prilly;46.527259999999900;6.602937000000000
182;Pharmacie Sun Store - Centre Migros;Sun Store;Avenue de la Gare 17. 1180 Rolle;46.461127400000000;6.338083100000000
183;Pharmacie Sun Store - Centre Migros;Sun Store;Avenue de Pr?»???¢ville . 1510 Moudon;46.669115300000000;6.802219100000000
184;Pharmacie Sun Store - Centre Migros Echallens;Sun Store;Rue de Praz-Palud 2c. 1040 Echallens;46.638779100000000;6.636077600000000
185;Pharmacie Sun Store - Centre MM M?»???¢tropole;Sun Store;Avenue du 14-Avril 8. 1020 Renens VD;46.538767000000000;6.580752300000000
186;Pharmacie Sun Store - Centre MMM Chablais;Sun Store;Chemin Sous le Grand-Pr?»???¢ 4. 1860 Aigle;46.317320500000000;6.936960900000000
187;Pharmacie Sun Store - Centre MMM Crissier;Sun Store;Chemin du Closalet 7. 1023 Crissier;46.554920699999900;6.569155600000000
188;Pharmacie Sun Store - Centre MMM Yverdon;Sun Store;Rue de Neuch?»???¢tel 3. 1400 Yverdon-les-Bains;46.781315800000000;6.635525400000000
189;Pharmacie Sun Store - Expo Centre Migros Montagny;Sun Store;En Chamard 14. 1442 Montagny-pr?»???¢s-Yverdon;46.788124600000000;6.621563400000000
190;Pharmacie Sun Store - Galerie du Bourg;Sun Store;Rue de la Gare 11. 1260 Nyon;46.382502299999900;6.238189300000000
191;Pharmacie Sun Store - Grand-Pont;Sun Store;Rue du Grand-Pont 18. 1003 Lausanne;46.521893900000000;6.630096400000000
192;Pharmacie Sun Store - Littoral Centre Allaman;Sun Store;Route de la Gare 10. 1165 Allaman;46.476669600000000;6.402081500000000
193;Pharmacie Sun Store - M?»???¢tropole 2000;Sun Store;Rue des Terreaux 25. 1003 Lausanne;46.522661800000000;6.627207000000000
194;Pharmacie Sun Store - MM Clarens-Centre;Sun Store;Avenue Alexandre-Vinet 17. 1815 Clarens;46.441378899999900;6.893058300000000
195;Pharmacie Sun Store - MM Forum Centre Montreux;Sun Store;Place du March?»???¢ 6. 1820 Montreux;46.431697399999900;6.909718400000000
196;Pharmacie Sun Store - Morges Centre;Sun Store;Rue Centrale 12. 1110 Morges;46.509843199999900;6.498070700000000
197;Pharmacie Sun Store - Nyon La Combe;Sun Store;Rue de la Mor?»???¢che 6. 1260 Nyon;46.382731900000000;6.234673500000000
198;Pharmacieplus de la Vall?®e de Joux;;Grande-Rue 32. 1347 Le Chenit;46.607177000000000;6.230627000000000
